family,source_id,configured,source_role,safe_seed_url,content_state,completeness,access_state,redistribution_status,live_check_result,evidence,parser_notes
owao,owao_astroedu_archive,true,archive,https://astroedu.ru/hq/problems/owao,indexed,partial_archive,open,unknown,tracked source,Direct public PDFs and practical-round archives provide local coverage,direct-file fallback
owao,owao_tasks_official,true,official,https://owao.siriusolymp.ru/2025en/tasks,metadata_only,unknown,partially_accessible,unknown,tracked source,Official archive provenance includes policy-blocked external shares and interactive rounds,official discovery source
poland_astronomy,poland_astronomy_planetarium_official,true,official,https://www.planetarium.edu.pl/olimpiada/archiwum.html,indexed,partial_archive,open,unknown,HTTP 200; 6 normalized archive objects,Official digital archive is historically partial; two current-edition pages are containers,edition-aware booklet metadata
poland_astronomy_junior,poland_astronomy_junior_official,true,official,https://oaj.edu.pl/archiwum/,metadata_only,unknown,partially_accessible,unknown,HTTP 200; archive containers only,Separate junior provenance is durable but no stage-paper files were publicly reached,bounded archive containers only
romania_astronomy,romania_astronomy_official,false,official,https://onaa2026.ro/subiecte-si-bareme,unresolved,unknown,dead_links,unknown,TLS hostname mismatch,Certificate hostname validation failed; no workaround used,needed when reachable
russia_team_qual,russia_team_qual_archive,true,official,https://astroedu.ru/hq/problems/,indexed,partial_archive,partially_accessible,unknown,tracked source,Direct PDF subset is indexed; linked interactive quiz pages remain outside acquisition,official archive
serbia_astronomy,serbia_astronomy_official,true,official,https://www.das.org.rs/naoc.html,indexed,partial_archive,open,unknown,tracked source,Official NAOK/DAS archive of tasks and solutions by year,official archive
singapore_astronomy,singapore_astronomy_official,true,official,https://astronomy.sg/singapore-astronomy-olympiad/,metadata_only,unknown,robots_blocked,unknown,robots.txt blocked current official page,Configured authoritative archive provenance remains durable but this run could not enumerate paper links under crawler policy; no mirror or retry loop used,official-page-only Drive provenance when accessible
slovenia_astronomy,slovenia_astronomy_dmfa_official,true,official,https://www.dmfa.si/Tekmovanja/As/ArhivNalog.aspx,indexed,partial_archive,open,unknown,HTTP 200; 34 validated combined PDFs normalized 2010-2026,Official high-school archive: 17 school and 17 state documents; archive scope is not asserted historically complete,DMFA As_* GetPDF archive only
slovenia_astronomy_primary,slovenia_astronomy_primary_dmfa_official,true,official,https://www.dmfa.si/tekmovanja/AsOS/ArhivNalog.aspx,indexed,partial_archive,open,unknown,HTTP 200; 10 validated combined PDFs normalized 2022-2026,Official primary-school archive: five school and five state documents; archive scope is not asserted historically complete,DMFA AsOS_* GetPDF archive only
slovenia_utrinek,slovenia_utrinek_dmfa_official,true,official,https://www.dmfa.si/tekmovanja/AsOSU/ArhivNalog.aspx,indexed,partial_archive,open,unknown,HTTP 200; 10 validated combined PDFs normalized 2022-2026,Official Utrinek archive: five school and five state documents; archive scope is not asserted historically complete,DMFA AsOSU_* GetPDF archive only
spbao,spbao_official,true,official,http://school.astro.spbu.ru/?q=node/596,indexed,partial_archive,open,unknown,tracked source,Official Saint Petersburg Astronomy Olympiad archive for recent years,official archive
spbao,spbao_olimpiada_archive,true,archive,https://olimpiada.ru/activity/287/tasks,indexed,partial_archive,partially_accessible,unknown,tracked source,Archive navigation includes some broken historical links,archive provenance preserved
spbao,spbao_year_class_pages,true,archive,,indexed,partial_archive,partially_accessible,unknown,tracked source,Deep year-and-class archive includes some broken historical links,bounded generated seed pages
sri_lanka_astronomy,sri_lanka_ipsl_official,true,official,https://ipsl.lk/astronomy-olympiad/,indexed,partial_archive,open,unknown,HTTP 200; 26 official PDFs normalized,Senior-only bounded archive: 25 task variants and one solution; multilingual variants retain their language and no completeness is claimed,SLAAO/astro-test direct-PDF classifier
sri_lanka_junior_astronomy,sri_lanka_junior_ipsl_official,true,official,https://ipsl.lk/astronomy-olympiad/,indexed,partial_archive,open,unknown,HTTP 200; 25 official PDFs normalized,Junior-only bounded archive: 25 SLJAO task variants; multilingual variants retain their language and no completeness is claimed,SLJAO direct-PDF classifier
struve,struve_astroedu_archive,true,official,https://astroedu.ru/struve/problems,indexed,partial_archive,partially_accessible,unknown,tracked source,Official direct archive is indexed; linked interactive rounds remain metadata-only,official archive
struve,struve_moscow_year_pages,true,mirror,,indexed,partial_archive,open,unknown,tracked source,Historical year pages provide mirror variants,mirror provenance preserved
taiwan_astronomy,taiwan_astronomy_deferred_reference,false,archive,,deferred,unknown,not_applicable,unknown,no seed,No modern astronomy-only national archive established,not applicable
thailand_astronomy,thailand_astronomy_posn_official,true,official,https://www.posn.or.th/projects/academic-olympiad/ao/examination/,metadata_only,unknown,form_gated,unknown,HTTP 200; 19 astronomy cards 2009-2025 require visible role/purpose form,All bounded official astronomy exam cards are form-gated; cards retained as provenance and no form submitted,bounded pagination plus explicit BE-to-Gregorian card conversion
ukraine_astronomy,ukraine_usao_official,false,official,https://www.usao.org.ua/,unresolved,unknown,dead_links,unknown,TLS self-signed certificate,Certificate validation failed; no insecure TLS mode used,needed when reachable
usaaao,usaaao_past_exams,true,official,https://usaaao.org/resources/past-exams/,indexed,partial_archive,open,unknown,tracked source,Official First Round NAC and selection-exam papers and solutions,official archive
vsosh_astronomy,vsosh_astroedu_archive,true,archive,https://astroedu.ru/vos/problems,indexed,partial_archive,open,unknown,tracked source,Deep archive of tasks and solutions from 1994 onward,archive source
vsosh_astronomy,vsosh_edsoo_official,true,official,https://vserosolimp.edsoo.ru/astronom,metadata_only,unknown,partially_accessible,unknown,tracked source,Official requirements and recent archive provenance; some linked material is robots-blocked,official provenance
vsosh_astronomy,vsosh_edsoo_stage_documents,true,official,https://vserosolimp.edsoo.ru/region_way,metadata_only,unknown,partially_accessible,unknown,tracked source,Official regional and final-stage requirements regulations and orders,official provenance
vsosh_astronomy,vsosh_moscow_team_year,true,mirror,https://vos.olimpiada.ru/team/year/2026,metadata_only,unknown,open,unknown,tracked source,Public Moscow team page provides final-stage and result provenance,mirror provenance
vsosh_astronomy,vsosh_moscow_year_pages,true,mirror,,indexed,partial_archive,open,unknown,tracked source,Deep school-year archive for regional and final stages,mirror provenance
vsosh_astronomy,vsosh_sirius_final,true,official,https://astro.siriusolymp.ru/results,metadata_only,unknown,open,unknown,tracked source,Official final-stage results and jury protocol provenance,official provenance
